"Ding, Sache",lucru,lucruri,,,,n,un,două,Duolingo
"Schachtel, Dose, Behälter",cutie,cutii ,,,,f,o,două,Duolingo
Stück (Kuchen),bucată,bucăți,,,,f,o,două,Duolingo
Scheibe,felie,felii,,Ich habe eine Scheibe Käse,Eu am o felie de brânză,f,o,două,Duolingo
"Tüte, Tasche, Beutel",pungă,pungi,,,,f,o,două,Duolingo
Geld,ban,bani,,,,n,un,două,Duolingo
Lineal,riglă,rigle,,,,f,o,două,Duolingo
Füller,stilou,stilouri,,,,n,un,două,Duolingo
Blatt (Papier),foaie,foi,,,,f,o,două,Duolingo
Übungsheft,caiet,caiete,,,,n,un,două,Duolingo
Gummi,gumă,gume,,,,f,o,două,Duolingo
"Stift, Kugelschreiber",pix,pixuri,,,,n,un,două,Duolingo
Schere,foarfecă,foarfeci,,,,f,o,două,Duolingo
Brieftasche,portofel,portofele,,,,n,un,două,Duolingo
Regenschirm,umbrelă,umbrele,,,,f,o,două,Duolingo
Schlüssel,cheie,chei,,,,f,o,două,Duolingo
Uhr,ceas,ceasuri,,,,n,un,două,Duolingo
Feuerzeug,brichetă,brichete,,,,f,o,două,Duolingo
Brille,ochelari,ochelari,,,,pl,,,Duolingo
"Armreif, Armband",brățară,brățări,,,,f,o,două,Duolingo
Ring,inel,inele,,,,n,un,două,Duolingo
Kamm,pieptene,piepteni,,,,m,un,doi,Duolingo
Knopf,nasture,nasturi,,,,m,un,doi,Duolingo
Ehering,verighetă,verighete,,,,f,o,două,Duolingo
Ohrring,cercel,cercei,,,,m,un,doi,Duolingo
Kette (Schmuck),lănțișor,lănțișoare,,,,n,un,două,Duolingo
"Bürste, Feger, Handbesen",perie,perii,,,,f,o,două,Duolingo
Briefmarke,timbru,timbre,,,,n,un,două,Duolingo
Kerze,lumânare,lumânări,,,,f,o,două,Duolingo
Reißverschluss,fermoar,fermoare,,,,n,un,două,Duolingo
"Kleber, Klebstoff",lipici,lipiciuri,,,,n,un,două,Duolingo
Nadel,ac,ace,,,,n,un,două,Duolingo
Hammer,ciocan,ciocane,,,,n,un,două,Duolingo
Streichholz,chibrit,chibrituri,,,,n,un,două,Duolingo
Glühlampe,bec,becuri,,,,n,un,două,Duolingo
Ampel,semafor,semafoare,,,,n,un,două,Duolingo
Kofferraum,portbagaj,portbagaje,,,,n,un,două,Duolingo
"Lenkrad, Steuer",volan,volane,,,,n,un,două,Duolingo
Rad,roată,roți/roate,,,,f,o,două,Duolingo
Sicherheitsgurt,centură,centuri,,,,f,o,două,Duolingo
Windschutzscheibe,parbriz,parbrize,,,,n,un,două,Duolingo
Spiegel,oglindă,oglinzi,,,,f,o,două,Duolingo
"Kabel, Leitung",cablu,cabluri,,,,n,un,două,Duolingo
Größe,mărime,mărimi,,,,f,o,două,Duolingo
"Oberfläche, Fläche",suprafață,suprafețe,,,,f,o,două,Duolingo
Tiefe,adâncime,adâncimi,,,,f,o,două,Duolingo
Dicke,grosime,grosimi,,,,f,o,două,Duolingo
Breite,lățime,lățimi,,,,f,o,două,Duolingo
Länge,lungime,lungimi,,,,f,o,două,Duolingo
Quadrat,pătrat,pătrate,,,,n,un,două,Duolingo
Gewicht,greutate,greutăți,,,,f,o,două,Duolingo
"Entfernung, Distanz",distanță,distanțe,,,,f,o,două,Duolingo
Geschwindigkeit,viteză,viteze,,,,f,o,două,Duolingo
dreieckig,triunghiular,,,,,adj,,,Duolingo
dasselbe,același,,,,,adj,,,Duolingo
Stadt,oraș,orașe,,,,n,un,două,Duolingo
Insel,insulă,insule,,,,f,o,două,Duolingo
Land,țară,țări,,,,f,o,două,Duolingo
Reisepass,pașaport,pașapoarte,,,,n,un,două,Duolingo
"Fremder, Ausländer",străin,străini,,,,m,un,doi,Duolingo
Bildschirm,ecran,ecrane,,,,n,un,două,Duolingo
Autobahn,autostradă,autostrăzi,,,,f,o,două,Duolingo
Süden,sud,suduri,,,,n,un,două,Duolingo
Norden,nord,nord,,,,n,un,două,Duolingo
Osten,est,est,,,,n,un,două,Duolingo
Westen,vest,vest,,,,n,un,două,Duolingo
"Wohnviertel, Quartier",cartier,cartiere,,,,n,un,două,Duolingo
Deutsche,nemțoaică,nemțoaice,,,,f,o,două,Duolingo
Wohnblock,bloc,blocuri,,,,n,un,două,Duolingo
"daheim, zuhause",acasă,,,,,adv,,,Duolingo
Garten,grădină,grădini,,,,f,o,două,Duolingo
König,rege,regi,,,,m,un,doi,Duolingo
Bürgermeister,primar,primari,,,,m,un,doi,Duolingo
rechts,la dreapta,,,,,adv,,,Duolingo
Gesetz,lege,legi,,,,f,o,două,Duolingo
Krieg,război,războaie,,,,n,un,două,Duolingo
Gerechtigkeit,dreptate,dreptăți,,Die Menschen wollen Gerechtigkeit,Oamenii doresc dreptate,f,o,două,Duolingo
Gleichheit,egalitate,egalități,,,,f,o,două,Duolingo
gleich,egal/ la fel,,,,,adj,,,Duolingo
Frieden,pace,păci,,,,f,o,două,Duolingo
"Schloss, Burg",castel,castele,,,,n,un,două,Duolingo
Zoo,grădină zoologică,grădini zoologice,,,,f,o,două,Duolingo
Palast,palat,palate,,,,n,un,două,Duolingo
Museum,muzeu,muzee,,,,n,un,două,Duolingo
Wurst,cârnat,cârnați,,,,m,un,doi,
Salami,salam,salamuri,,,,n,un,două,
Gibt es ...?,Există ...?,,,,,sent,,,
Darf ich ...?,Pot să ...?,,,,,sent,,,
Ich brauche ...,Am nevoie de ...,,,,,sent,,,
Wo ist ...?,Unde este ...?,,,,,sent,,,
Was ist ...?,Ce este ...?,,,,,sent,,,
Was kostet ...?,cât costă ... ?,,,,,sent,,,
